fdcId,英文食品名,中文食品名,状态,可能需要复核的英文词
2710828,"Farro, pearled, dry, raw",法罗麦，去皮抛光，干燥，生,已自动校验,
2710829,"Fonio, grain, dry, raw",福尼奥米，谷粒，干燥，生,已自动校验,
2710830,"Khorasan, grain, dry, raw",卡姆小麦，谷粒，干燥，生,已自动校验,
2710831,"Kiwifruit (kiwi), green, peeled, raw",猕猴桃（猕猴桃），绿色，去皮，生,已自动校验,
2710832,"Mandarin, seedless, peeled, raw",柑橘，无籽，去皮，生,已自动校验,
2710833,"Mango, Tommy Atkins, peeled, raw",芒果，汤米·阿特金斯，去皮，生,已自动校验,
2710834,"Mango, Ataulfo, peeled, raw",芒果，阿陶尔福，去皮，生,已自动校验,
2710835,"Corn flour, masa harina, white or yellow, dry, raw",玉米 面粉，玉米玛萨粉，白色 或 黄色，干燥，生,已自动校验,
2710836,"Pear, Anjou, green, with skin, raw",梨，安茹，绿色，带皮，生,已自动校验,
2710837,"Plum, black, with skin, raw",李子，黑色，带皮，生,已自动校验,
2710838,"Rice, red, unenriched, dry, raw",大米，红色，未强化，干燥，生,已自动校验,
2710839,"Sorghum bran, white, unenriched, dry, raw",高粱 麸皮，白色，未强化，干燥，生,已自动校验,
2710840,"Sorghum flour, white, pearled, unenriched, dry, raw",高粱 面粉，白色，去皮抛光，未强化，干燥，生,已自动校验,
2710841,"Sorghum grain, white, pearled, unenriched, dry, raw",高粱 谷粒，白色，去皮抛光，未强化，干燥，生,已自动校验,
2710842,"Sorghum, whole grain, white, dry, raw",高粱，全谷物，白色，干燥，生,已自动校验,
2710843,"Plantains, overripe, raw",大蕉，过熟，生,已自动校验,
2727566,"Chicken, drumstick, meat and skin, raw",鸡肉，鸡小腿，肉和皮，生,已自动校验,
2727567,"Chicken, thigh, meat and skin, raw",鸡肉，大腿肉，肉和皮，生,已自动校验,
2727568,"Chicken, wing, meat and skin, raw",鸡肉，鸡翅，肉和皮，生,已自动校验,
2727569,"Chicken, breast, meat and skin, raw",鸡肉，胸肉，肉和皮，生,已自动校验,
2727570,"Lamb, ground, raw",羊肉，绞碎，生,已自动校验,
2727571,"Bison, ground, raw",野牛肉，绞碎，生,已自动校验,
2727572,"Beef, short loin (NY strip steak), raw",牛肉，短腰脊（纽约客牛排），生,已自动校验,
2727573,"Beef, tenderloin steak, raw",牛肉，里脊牛排，生,已自动校验,
2727574,"Beef, top sirloin steak, raw",牛肉，上西冷牛排，生,已自动校验,
2727575,"Pork, chop, center cut, raw",猪肉，排，中段切块，生,已自动校验,
2727576,"Pork, belly, with skin, raw",猪肉，腹部，带皮，生,已自动校验,
2727577,"Pawpaw, peeled, seeded, raw",美洲番荔枝，去皮，去籽，生,已自动校验,
2727578,"Squash, pie pumpkin, peeled, seeded, raw",南瓜，馅饼南瓜，去皮，去籽，生,已自动校验,
2727579,"Squash, spaghetti, peeled, seeded, raw",意面南瓜，去皮，去籽，生,已自动校验,
2727580,"Rutabaga, peeled, raw",芜菁甘蓝，去皮，生,已自动校验,
2727581,"Blackberries, raw",黑莓，生,已自动校验,
2727582,"Tomatillos, dehusked, raw",酸浆番茄，去外壳，生,已自动校验,
2727583,"Cabbage, napa, leaf, destemmed, raw",大白菜，叶，去茎，生,已自动校验,
2727584,"Leeks, bulb and greens, root removed, raw",韭葱，鳞茎和绿色叶部，去根，生,已自动校验,
2727585,"Green onion, (scallion), bulb and greens, root removed, raw",青葱（香葱），鳞茎和绿色叶部，去根，生,已自动校验,
2727586,"Shallots, bulb, peeled, root removed, raw",红葱头，鳞茎，去皮，去根，生,已自动校验,
2727587,"Juice, prune, shelf-stable",西梅汁，常温保存,已自动校验,
2727588,"Juice, pomegranate, from concentrate, shelf-stable",石榴汁，浓缩还原，常温保存,已自动校验,
2727589,"Juice, tart cherry, from concentrate, shelf-stable",果汁，酸樱桃，浓缩还原，常温保存,已自动校验,
2747652,"Anchovies, canned in olive oil, with salt, drained",凤尾鱼，罐装 in 橄榄 油，含 盐，沥干,已自动校验,
2747653,"Beet greens, raw",甜菜叶，生,已自动校验,
2747654,"Cod, Pacific or Alaskan, frozen, wild caught",鳕鱼，太平洋或阿拉斯加，冷冻，野生捕捞,已自动校验,
2747655,"Fennel, bulb, raw",茴香鳞茎，生,已自动校验,
2747656,"Halibut, frozen, wild caught",大比目鱼，冷冻，野生捕捞,已自动校验,
2747657,"Lobster, tail only, frozen, wild caught",龙虾，仅尾部，冷冻，野生捕捞,已自动校验,
2747658,"Mahi mahi, frozen, wild caught",鲯鳅，冷冻，野生捕捞,已自动校验,
2747659,"Parsnips, raw",欧防风，生,已自动校验,
2747660,"Peppers, banana or Hungarian wax, seeded, raw",辣椒，香蕉椒或匈牙利蜡椒，去籽，生,已自动校验,
2747661,"Peppers, jalapeno, seeded, raw",辣椒，墨西哥青辣椒，去籽，生,已自动校验,
2747662,"Peppers, poblano, seeded, raw",辣椒，波布拉诺椒，去籽，生,已自动校验,
2747663,"Peppers, serrano, seeded, raw",辣椒，塞拉诺椒，去籽，生,已自动校验,
2747664,"Radicchio, raw",红菊苣，生,已自动校验,
2747665,"Radishes, red, raw",红萝卜，红色，生,已自动校验,
2747666,"Scallops, bay, Patagonian, frozen, wild caught",海湾扇贝，巴塔哥尼亚产，冷冻，野生捕捞,已自动校验,
2747667,"Scallops, sea, frozen, wild caught",海扇贝，冷冻，野生捕捞,已自动校验,
2747668,"Sea bass, Chilean, frozen, wild caught",智利海鲈，冷冻，野生捕捞,已自动校验,
2747669,"Snapper, frozen, wild caught",笛鲷，冷冻，野生捕捞,已自动校验,
2747670,"Snow crab, legs only, frozen  ",雪蟹，仅蟹腿，冷冻,已自动校验,
2747671,"Squid (calamari), frozen, tubes only",鱿鱼，冷冻，仅胴体,已自动校验,
2747672,"Swordfish, frozen, wild caught",剑鱼，冷冻，野生捕捞,已自动校验,
2747673,"Tuna, ahi or yellowfin, frozen, wild caught",金枪鱼，黄鳍金枪鱼，冷冻，野生捕捞,已自动校验,
2747674,"Turnips, raw",芜菁，生,已自动校验,
2747675,"Watermelon, seedless, flesh only, raw",西瓜，无籽，仅果肉，生,已自动校验,
2747676,"Watermelon, seedless, rind only, raw",西瓜，无籽，仅果皮，生,已自动校验,
